RepRapFirmware height map file v2 generated at 2024-09-06 11:17, min error -0.164, max error 0.028, mean -0.011, deviation 0.028
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,15.00,215.00,30.00,220.00,-1.00,6.80,6.80,30,28
 -0.058, -0.058,  0.014,  0.014,  0.007,  0.007,  0.000, -0.007,  0.000,  0.007,  0.007,  0.007,  0.014,  0.007,  0.014,  0.021,  0.025,  0.021,  0.021,  0.021,  0.028,  0.028,  0.028,  0.025,  0.019,  0.019,  0.014,  0.007,  0.000, -0.026
 -0.073,  0.007,  0.007,  0.007,  0.000, -0.005, -0.005, -0.007, -0.007,  0.000,  0.000,  0.000,  0.007,  0.007,  0.014,  0.014,  0.019,  0.019,  0.021,  0.021,  0.028,  0.019,  0.019,  0.014,  0.007,  0.000,  0.007, -0.012, -0.019, -0.033
 -0.089, -0.073,  0.007,  0.014, -0.005, -0.005, -0.007, -0.005, -0.005, -0.007,  0.000,  0.000,  0.014,  0.000,  0.007,  0.019,  0.014,  0.021,  0.019,  0.025,  0.021,  0.019,  0.021,  0.021,  0.021,  0.007,  0.000,  0.000, -0.012, -0.033
 -0.077,  0.007,  0.007,  0.000,  0.000, -0.007, -0.012, -0.005, -0.005, -0.007,  0.000,  0.000,  0.007,  0.007,  0.012,  0.007,  0.012,  0.014,  0.014,  0.014,  0.019,  0.021,  0.014,  0.007,  0.007,  0.000,  0.000, -0.019, -0.019, -0.037
 -0.099, -0.073,  0.000,  0.007,  0.000, -0.012, -0.007, -0.012, -0.005, -0.007,  0.000,  0.000,  0.007,  0.007,  0.007,  0.014,  0.021,  0.019,  0.021,  0.021,  0.021,  0.019,  0.012,  0.014,  0.007,  0.007,  0.007, -0.007, -0.007, -0.033
 -0.084,  0.000,  0.007,  0.007,  0.000, -0.005, -0.005, -0.007,  0.000, -0.005, -0.007,  0.007,  0.007,  0.007,  0.014,  0.014,  0.014,  0.014,  0.014,  0.019,  0.014,  0.019,  0.014,  0.007,  0.000,  0.000, -0.007, -0.019, -0.033, -0.044
 -0.099, -0.066,  0.014,  0.014,  0.000, -0.005, -0.005, -0.005,  0.000, -0.005,  0.000,  0.000,  0.000,  0.014,  0.007,  0.014,  0.014,  0.014,  0.021,  0.014,  0.014,  0.021,  0.014,  0.014,  0.014,  0.005,  0.000,  0.000, -0.005, -0.033
 -0.077,  0.000,  0.007,  0.000,  0.000, -0.005, -0.005, -0.005, -0.007,  0.000,  0.000,  0.007,  0.007,  0.007,  0.007,  0.014,  0.014,  0.014,  0.014,  0.014,  0.014,  0.014,  0.012,  0.012,  0.000,  0.000, -0.007, -0.012, -0.026, -0.051
 -0.099, -0.066,  0.007,  0.007,  0.007, -0.005, -0.007, -0.007, -0.007,  0.000, -0.005,  0.000,  0.007,  0.014,  0.014,  0.007,  0.014,  0.019,  0.021,  0.014,  0.007,  0.021,  0.014,  0.014,  0.014,  0.007,  0.000, -0.007, -0.012, -0.044
 -0.084,  0.000,  0.014,  0.007,  0.000,  0.000, -0.007,  0.000, -0.005,  0.000,  0.007,  0.007,  0.014,  0.014,  0.007,  0.014,  0.021,  0.019,  0.021,  0.014,  0.021,  0.014,  0.012,  0.014,  0.007, -0.007, -0.005, -0.012, -0.033, -0.058
 -0.104, -0.073,  0.000,  0.007,  0.000, -0.005, -0.007, -0.007, -0.005, -0.007,  0.000,  0.000,  0.007,  0.014,  0.007,  0.014,  0.014,  0.014,  0.014,  0.014,  0.012,  0.014,  0.014,  0.014,  0.014,  0.007,  0.000, -0.007, -0.012, -0.044
 -0.084,  0.000,  0.014,  0.014,  0.000, -0.007, -0.005, -0.005,  0.000, -0.007,  0.000,  0.007,  0.007,  0.007,  0.014,  0.014,  0.014,  0.014,  0.012,  0.012,  0.014,  0.014,  0.014,  0.007,  0.007,  0.000, -0.007, -0.012, -0.026, -0.058
 -0.111, -0.077,  0.000,  0.014,  0.000,  0.000, -0.007, -0.012,  0.000,  0.000,  0.000,  0.000,  0.007,  0.007,  0.014,  0.007,  0.014,  0.014,  0.014,  0.014,  0.014,  0.014,  0.021,  0.021,  0.007,  0.000,  0.000,  0.000, -0.012, -0.037
